name,link,cost for 2,cuisines,ratings,reviews,address
"laziz dawat Restaurant, Maltekedi",https://www.zomato.com/amravati/laziz-dawat-maltekedi,150,"North Indian, Biryani",-,," Gajanan nagar, near blind school, chandur railway road, camp amravati, Maltekedi, Amravati"
"aadd m aadd b Restaurant, Maltekedi",https://www.zomato.com/amravati/aadd-m-aadd-b-maltekedi,300,"Pizza, Ice Cream, Fast Food, Burger, Beverages",2.9,6," Sundarlal chowk court road in front of hello corner camp amravati, Maltekedi, Amravati"
"vj cafe drbubbles Restaurant, Ambapeth",https://www.zomato.com/amravati/the-vj-cafe-dr-bubbles-ambapeth,200,"Sandwich, Burger, Beverages",3.6,5," Navada chawk, Amravati, Ambapeth, Amravati"
"manbhari food mart Restaurant, Ambapeth",https://www.zomato.com/amravati/manbhari-food-mart-ambapeth,500,"Sandwich, Bakery",3.8,3," Rajkamal Chowk, Amravati, Ambapeth, Amravati"
"cool point Restaurant, Navsaari",https://www.zomato.com/amravati/cool-point-navsaari,200,"Sandwich, Pizza, Cafe, Burger",2.9,2," punjajai Market, vilas colony v.m.v. road, amravati, amravati municipal corp zone 03 amravati, Navsaari, Amravati"
"hotel mansarovar Restaurant, Sharda Vihar",https://www.zomato.com/amravati/hotel-mansarovar-sharda-vihar,300,,-,," Sharda Vihar, Nawathe, Amravati - 444602"
"hotel iccha Restaurant, Sharda Vihar",https://www.zomato.com/amravati/hotel-iccha-sharda-vihar,200,North Indian,3.8,8," Iccha Group, Sai Nagar Road, Ghanshyam Nagar, Saturna, Sharda Vihar, Amravati"
"beyond temptation camp Restaurant, Maltekedi",https://www.zomato.com/amravati/beyond-temptation-camp-1-maltekedi,20,"Sandwich, Pizza, Juices, Coffee, Burger",3.6,3," Plot no. 15, chandak tower, girls high school square, Amravati, Maltekedi, Amravati"
"gouri royal regal pure veg restaurant Restaurant, Arjun Nagar",https://www.zomato.com/amravati/gouri-in-royal-regal-pure-veg-restaurant-arjun-nagar,150,"Chinese, North Indian, South Indian",3.3,5," rahatgaon, new by pass, nagpur road, amravati, Arjun Nagar, Amravati"
"mathura family restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/mathura-family-restaurant-maltekedi,,"North Indian, Maharashtrian",3.9,5," Hotel Maharaja, camp road, Amravati - 444601, Irvin Chowk, Maltekedi, Amravati"
"tasty farm bakery cafe Restaurant, Maltekedi",https://www.zomato.com/amravati/tasty-farm-bakery-cafe-maltekedi,,"Coffee, Fast Food, Sandwich, Street Food",3.1,3," Near Chat Bajar, Opposite Circuit House, Old Bypas Road, Maltekedi, Amravati"
"natural fresh icecream Restaurant, Arjun Nagar",https://www.zomato.com/amravati/natural-fresh-icecream-arjun-nagar,,"Desserts, Ice Cream",3.4,4," opp-grand mehfil, Amravati, Arjun Nagar, Amravati"
